time_s,state
1.5159999999996217,0
5.5,1
6.313000000000102,0
7.188000000000102,1
7.984999999998763,0
8.734999999998763,1
9.563000000000102,0
10.438000000000102,1
11.234999999998763,0
12.125,1
12.82799999999952,0
13.671999999998661,1
14.484999999998763,0
15.359999999998763,1
16.26599999999962,0
16.906999999999243,1
17.71899999999914,0
18.59399999999914,1
19.42199999999866,0
20.156999999999243,1
20.96899999999914,0
21.82799999999952,1
22.67199999999866,0
23.39099999999962,1
24.188000000000102,0
25.09399999999914,1
25.906999999999243,0
26.75,1
27.45299999999952,0
28.313000000000102,1
29.14099999999962,0
