time_s,state
5.093999999999141,1
5.906999999999243,0
6.718999999999141,1
7.531999999999243,0
8.343999999999141,1
9.156999999999243,0
9.968999999999141,1
10.781999999999243,0
11.593999999999141,1
12.406999999999243,0
13.218999999999141,1
14.031999999999243,0
14.843999999999141,1
15.656999999999243,0
16.46899999999914,1
17.281999999999243,0
18.09399999999914,1
18.906999999999243,0
19.71899999999914,1
20.531999999999243,0
21.34399999999914,1
22.156999999999243,0
22.96899999999914,1
23.781999999999243,0
24.59399999999914,1
25.406999999999243,0
26.21899999999914,1
27.031999999999243,0
27.84399999999914,1
28.656999999999243,0
