source_time_s,observed_time_s,state,latency_ms
5.093999999999141,5.5,1,406.00000000085856
5.906999999999243,6.313000000000102,0,406.00000000085856
6.718999999999141,7.188000000000102,1,469.0000000009604
7.531999999999243,7.984999999998763,0,452.9999999995198
8.343999999999141,8.734999999998763,1,390.99999999962165
9.156999999999243,9.563000000000102,0,406.00000000085856
9.968999999999141,10.438000000000102,1,469.0000000009604
10.781999999999243,11.234999999998763,0,452.9999999995198
11.593999999999141,12.125,1,531.0000000008586
12.406999999999243,12.82799999999952,0,421.0000000002765
13.218999999999141,13.671999999998661,1,452.9999999995198
14.031999999999243,14.484999999998763,0,452.9999999995198
14.843999999999141,15.359999999998763,1,515.9999999996217
15.656999999999243,16.26599999999962,0,609.0000000003783
16.46899999999914,16.906999999999243,1,438.00000000010186
17.281999999999243,17.71899999999914,0,436.99999999989814
18.09399999999914,18.59399999999914,1,500.0
18.906999999999243,19.42199999999866,0,514.9999999994179
19.71899999999914,20.156999999999243,1,438.00000000010186
20.531999999999243,20.96899999999914,0,436.99999999989814
21.34399999999914,21.82799999999952,1,484.00000000037835
22.156999999999243,22.67199999999866,0,514.9999999994179
22.96899999999914,23.39099999999962,1,422.0000000004802
23.781999999999243,24.188000000000102,0,406.00000000085856
24.59399999999914,25.09399999999914,1,500.0
25.406999999999243,25.906999999999243,0,500.0
26.21899999999914,26.75,1,531.0000000008586
27.031999999999243,27.45299999999952,0,421.0000000002765
27.84399999999914,28.313000000000102,1,469.0000000009604
28.656999999999243,29.14099999999962,0,484.00000000037835
