time_s,horizontal_contrast
1.3130000000001019,-7.745859512786596
1.4219999999986612,-7.842227458112875
1.5159999999996217,-193.7861896494709
1.6409999999996217,-197.82264798280423
1.7659999999996217,-200.12425595238096
1.859999999998763,-202.63815861992944
1.984999999998763,-214.4171626984127
2.1409999999996217,-214.5048363095238
2.234999999998763,-214.7071345899471
2.359999999998763,-217.8933876212522
2.5,-216.7261078042328
2.57799999999952,-213.04416749338625
2.70299999999952,-209.36071841931218
2.859999999998763,-209.3679866622575
2.938000000000102,-209.34275793650792
3.063000000000102,-209.47497795414463
3.2189999999991414,-209.441654265873
3.313000000000102,-209.44571208112876
3.4219999999986612,-209.532848324515
3.57799999999952,-209.44892250881836
3.6569999999992433,-209.4418816137566
3.7819999999992433,-209.46040013227514
3.938000000000102,-209.46226025132276
4.031999999999243,-209.46631806657848
4.140999999999622,-209.5841944995591
4.296999999998661,-209.5796268738977
4.390999999999622,-209.5859375
4.5,-209.58287863756613
4.656999999999243,-209.57069141313934
4.75,-209.57739473104056
4.859999999998763,-209.49497767857142
5.015999999999622,-209.5080329585538
5.109999999998763,-209.49776096781306
5.281999999999243,-209.5166377314815
5.390999999999622,-209.51405423280423
5.5,163.30178020282187
5.609999999998763,170.27907297178132
5.734999999998763,150.546199845679
5.82799999999952,132.87803819444446
5.938000000000102,131.9459807649912
6.093999999999141,131.98418898809524
6.20299999999952,132.0108920304233
6.313000000000102,-128.88616071428572
6.45299999999952,-192.24729938271605
6.546999999998661,-211.2235725308642
6.656999999999243,-214.11202739197532
6.813000000000102,-214.11475556657848
6.95299999999952,-214.10848627645504
7.063000000000102,-214.12352568342152
7.188000000000102,212.86047040343917
7.265999999999622,146.44717950837742
7.375,132.49486055996474
7.546999999998661,132.5125385802469
7.625,132.5181396053792
7.796999999998661,132.58159722222223
7.906999999999243,132.6172839506173
7.984999999998763,-192.25185322971782
8.093999999999141,-206.4070698302469
8.265999999999622,-213.38692542989418
8.343999999999141,-213.52060598544975
8.531999999999243,-214.22630070546737
8.625,-214.16141010802468
8.734999999998763,-9.369481646825397
8.843999999999141,178.66364914021165
8.984999999998763,138.77925209435625
9.063000000000102,131.87852733686066
9.188000000000102,132.31515239197532
9.343999999999141,132.35988481040565
9.45299999999952,132.4001805004409
9.563000000000102,-130.51465360449737
9.70299999999952,-194.0591655643739
9.781999999999243,-208.1676173941799
9.906999999999243,-214.41160989858906
10.063000000000102,-214.38914379409172
10.20299999999952,-214.4254574514991
10.359999999998763,-214.0279224537037
10.438000000000102,213.21351410934744
10.515999999999622,165.18866429673722
10.640999999999622,133.39442102072312
10.796999999998661,133.446483686067
10.875,133.43529541446208
11.046999999998661,133.62348434744268
11.156999999999243,133.68155450837742
