time_s,state
4.656000000000859,1
5.5,0
6.32799999999952,1
7.156000000000859,0
7.906000000000859,1
8.734000000000378,0
9.57799999999952,1
10.389999999999418,0
11.45299999999952,1
11.968000000000757,0
12.811999999999898,1
13.639999999999418,0
14.375,1
15.218000000000757,0
16.061999999999898,1
16.85900000000038,0
17.73400000000038,1
18.45299999999952,0
19.296000000000276,1
20.125,0
20.968000000000757,1
21.686999999999898,0
22.53100000000086,1
23.343000000000757,0
24.218000000000757,1
24.936999999999898,0
25.764999999999418,1
26.60900000000038,0
27.45299999999952,1
28.718000000000757,0
