source_time_s,observed_time_s,state,latency_ms
4.20299999999952,4.656000000000859,1,453.0000000013388
5.014999999999418,5.5,0,485.0000000005821
5.82799999999952,6.32799999999952,1,500.0
6.639999999999418,7.156000000000859,0,516.0000000014406
7.45299999999952,7.906000000000859,1,453.0000000013388
8.264999999999418,8.734000000000378,0,469.0000000009604
9.07799999999952,9.57799999999952,1,500.0
9.889999999999418,10.389999999999418,0,500.0
10.70299999999952,11.45299999999952,1,750.0
11.514999999999418,11.968000000000757,0,453.0000000013388
12.32799999999952,12.811999999999898,1,484.00000000037835
13.139999999999418,13.639999999999418,0,500.0
13.95299999999952,14.375,1,422.0000000004802
14.764999999999418,15.218000000000757,0,453.0000000013388
15.57799999999952,16.061999999999898,1,484.00000000037835
16.389999999999418,16.85900000000038,0,469.0000000009604
17.20299999999952,17.73400000000038,1,531.0000000008586
18.014999999999418,18.45299999999952,0,438.00000000010186
18.82799999999952,19.296000000000276,1,468.0000000007567
19.639999999999418,20.125,0,485.0000000005821
20.45299999999952,20.968000000000757,1,515.0000000012369
21.264999999999418,21.686999999999898,0,422.0000000004802
22.07799999999952,22.53100000000086,1,453.0000000013388
22.889999999999418,23.343000000000757,0,453.0000000013388
23.70299999999952,24.218000000000757,1,515.0000000012369
24.514999999999418,24.936999999999898,0,422.0000000004802
25.32799999999952,25.764999999999418,1,436.99999999989814
26.139999999999418,26.60900000000038,0,469.0000000009604
26.95299999999952,27.45299999999952,1,500.0
27.764999999999418,28.718000000000757,0,953.0000000013388
