time_s,state
4.20299999999952,1
5.014999999999418,0
5.82799999999952,1
6.639999999999418,0
7.45299999999952,1
8.264999999999418,0
9.07799999999952,1
9.889999999999418,0
10.70299999999952,1
11.514999999999418,0
12.32799999999952,1
13.139999999999418,0
13.95299999999952,1
14.764999999999418,0
15.57799999999952,1
16.389999999999418,0
17.20299999999952,1
18.014999999999418,0
18.82799999999952,1
19.639999999999418,0
20.45299999999952,1
21.264999999999418,0
22.07799999999952,1
22.889999999999418,0
23.70299999999952,1
24.514999999999418,0
25.32799999999952,1
26.139999999999418,0
26.95299999999952,1
27.764999999999418,0
