time_s,nal_type,payload_bytes
6.484000000000378,8,6
6.531000000000859,5,4532
6.609000000000378,1,2410
6.75,1,3408
6.79700000000048,7,9
6.79700000000048,8,6
6.79700000000048,7,9
6.79700000000048,8,6
6.84400000000096,7,9
6.84400000000096,8,6
6.890999999999622,5,4512
6.96900000000096,1,2611
7.156000000000859,1,5430
7.156000000000859,7,9
7.156000000000859,8,6
7.156000000000859,7,9
7.156000000000859,8,6
7.20299999999952,7,9
7.20299999999952,8,6
7.25,5,4408
7.375,1,5069
7.46900000000096,1,3431
7.515999999999622,7,9
7.515999999999622,8,6
7.515999999999622,7,9
7.515999999999622,8,6
7.563000000000102,7,9
7.563000000000102,8,6
7.609000000000378,5,4291
7.75,1,5278
7.813000000000102,1,2389
7.875,7,9
7.875,8,6
7.875,7,9
7.875,8,6
7.92200000000048,7,9
7.92200000000048,8,6
7.96900000000096,5,4273
8.04700000000048,1,2509
8.17200000000048,1,2195
8.234000000000378,7,9
8.234000000000378,8,6
8.234000000000378,7,9
8.25,8,6
8.281000000000859,7,9
8.281000000000859,8,6
8.32799999999952,5,4334
8.406000000000859,1,2334
8.57799999999952,1,4724
8.609000000000378,7,9
8.609000000000378,8,6
8.609000000000378,7,9
8.609000000000378,8,6
8.640999999999622,7,9
8.640999999999622,8,6
8.688000000000102,5,4231
8.765999999999622,1,2196
8.938000000000102,1,5263
8.96900000000096,7,9
8.96900000000096,8,6
8.96900000000096,7,9
8.96900000000096,8,6
9.0,7,9
9.0,8,6
9.04700000000048,5,4388
9.17200000000048,1,4653
9.281000000000859,1,4109
9.32799999999952,7,9
9.32799999999952,8,6
9.32799999999952,7,9
9.32799999999952,8,6
9.359000000000378,7,9
9.359000000000378,8,6
9.406000000000859,5,4314
9.54700000000048,1,5244
9.609000000000378,1,2273
9.688000000000102,7,9
9.688000000000102,8,6
9.688000000000102,7,9
9.688000000000102,8,6
9.71900000000096,7,9
9.71900000000096,8,6
9.765999999999622,5,4245
9.906000000000859,1,4994
9.96900000000096,1,2177
10.04700000000048,7,9
10.04700000000048,8,6
10.04700000000048,7,9
10.04700000000048,8,6
10.07799999999952,7,9
10.07799999999952,8,6
10.125,5,4303
10.20299999999952,1,2200
10.359000000000378,1,3636
10.406000000000859,7,9
10.406000000000859,8,6
10.406000000000859,7,9
10.406000000000859,8,6
10.438000000000102,7,9
10.438000000000102,8,6
10.484000000000378,5,4324
10.563000000000102,1,2301
10.75,1,5315
10.765999999999622,7,9
10.765999999999622,8,6
10.765999999999622,7,9
10.765999999999622,8,6
10.79700000000048,7,9
10.79700000000048,8,6
10.84400000000096,5,4269
10.96900000000096,1,4661
11.07799999999952,1,4112
11.125,7,9
11.125,8,6
11.125,7,9
11.125,8,6
11.156000000000859,7,9
11.156000000000859,8,6
11.20299999999952,5,4236
11.34400000000096,1,5261
11.406000000000859,1,2593
11.484000000000378,7,9
11.484000000000378,8,6
11.484000000000378,7,9
11.484000000000378,8,6
11.515999999999622,7,9
11.515999999999622,8,6
11.563000000000102,5,4294
11.70299999999952,1,4970
11.765999999999622,1,2479
11.84400000000096,7,9
11.84400000000096,8,6
11.84400000000096,7,9
11.84400000000096,8,6
11.875,7,9
11.875,8,6
11.92200000000048,5,4381
12.015999999999622,1,2621
12.156000000000859,1,4007
12.20299999999952,7,9
12.20299999999952,8,6
12.20299999999952,7,9
12.20299999999952,8,6
12.234000000000378,7,9
12.234000000000378,8,6
12.29700000000048,5,4433
12.375,1,2981
12.54700000000048,1,5619
12.563000000000102,7,9
12.563000000000102,8,6
12.563000000000102,7,9
12.563000000000102,8,6
12.59400000000096,7,9
12.59400000000096,8,6
12.640999999999622,5,4597
12.765999999999622,1,4260
12.906000000000859,1,5151
12.92200000000048,7,9
12.92200000000048,8,6
12.92200000000048,7,9
12.92200000000048,8,6
12.95299999999952,7,9
