time_s,nal_type,payload_bytes
8.375,7,9
8.375,8,6
8.375,7,9
8.375,8,6
8.421999999998661,7,9
8.421999999998661,8,6
8.484999999998763,5,5090
8.57799999999952,1,3649
8.734999999998763,1,5889
8.734999999998763,7,9
8.734999999998763,8,6
8.734999999998763,7,9
8.734999999998763,8,6
8.781999999999243,7,9
8.781999999999243,8,6
8.843999999999141,5,5086
9.031999999999243,1,2521
9.171999999998661,7,9
9.171999999998661,8,6
9.171999999998661,7,9
9.171999999998661,8,6
9.171999999998661,7,9
9.171999999998661,8,6
9.20299999999952,5,5015
9.32799999999952,1,5158
9.438000000000102,1,4931
9.468999999999141,7,9
9.468999999999141,8,6
9.468999999999141,7,9
9.468999999999141,8,6
9.5,7,9
9.5,8,6
9.563000000000102,5,5056
9.70299999999952,1,6106
9.765999999999622,1,2860
9.82799999999952,7,9
9.82799999999952,8,6
9.82799999999952,7,9
9.82799999999952,8,6
9.859999999998763,7,9
9.859999999998763,8,6
9.921999999998661,5,4971
10.046999999998661,1,5014
10.109999999998763,1,2667
10.188000000000102,7,9
10.188000000000102,8,6
10.188000000000102,7,9
10.188000000000102,8,6
10.218999999999141,7,9
10.218999999999141,8,6
10.32799999999952,5,5116
10.531999999999243,1,5757
10.546999999998661,7,9
10.546999999998661,8,6
10.546999999998661,7,9
10.546999999998661,8,6
10.57799999999952,7,9
10.57799999999952,8,6
10.640999999999622,5,5121
10.718999999999141,1,2525
10.906999999999243,1,6152
10.938000000000102,7,9
10.938000000000102,8,6
10.938000000000102,7,9
10.938000000000102,8,6
10.938000000000102,7,9
10.938000000000102,8,6
11.0,5,5017
11.125,1,5929
11.218999999999141,1,3935
11.265999999999622,7,9
11.265999999999622,8,6
11.265999999999622,7,9
11.265999999999622,8,6
11.296999999998661,7,9
11.296999999998661,8,6
11.359999999998763,5,5145
11.5,1,6257
11.563000000000102,1,3325
11.625,7,9
11.625,8,6
11.625,7,9
11.625,8,6
11.656999999999243,7,9
11.656999999999243,8,6
11.718999999999141,5,4958
11.859999999998763,1,6020
11.921999999998661,1,2740
11.984999999998763,7,9
11.984999999998763,8,6
11.984999999998763,7,9
11.984999999998763,8,6
12.015999999999622,7,9
12.015999999999622,8,6
12.07799999999952,5,5170
12.171999999998661,1,3666
12.343999999999141,1,6017
12.343999999999141,7,9
12.343999999999141,8,6
12.343999999999141,7,9
12.343999999999141,8,6
12.390999999999622,7,9
12.390999999999622,8,6
12.438000000000102,5,5201
12.515999999999622,1,3120
12.70299999999952,1,6416
12.70299999999952,7,9
12.70299999999952,8,6
12.70299999999952,7,9
12.70299999999952,8,6
12.75,7,9
12.75,8,6
12.813000000000102,5,5239
12.906999999999243,1,4517
13.063000000000102,1,6055
13.063000000000102,7,9
13.063000000000102,8,6
13.063000000000102,7,9
13.063000000000102,8,6
13.109999999998763,7,9
13.109999999998763,8,6
13.171999999998661,5,5252
13.313000000000102,1,6487
13.359999999998763,1,2910
13.421999999998661,7,9
13.421999999998661,8,6
13.421999999998661,7,9
13.421999999998661,8,6
13.468999999999141,7,9
13.468999999999141,8,6
13.531999999999243,5,5286
13.656999999999243,1,5987
13.718999999999141,1,2819
13.781999999999243,7,9
13.781999999999243,8,6
13.781999999999243,7,9
13.781999999999243,8,6
13.82799999999952,7,9
13.82799999999952,8,6
13.890999999999622,5,5278
13.95299999999952,1,3198
14.140999999999622,1,5953
14.140999999999622,7,9
14.140999999999622,8,6
14.140999999999622,7,9
14.140999999999622,8,6
14.188000000000102,7,9
14.188000000000102,8,6
14.25,5,5265
14.313000000000102,1,2790
14.5,1,6363
14.5,7,9
14.5,8,6
14.5,7,9
14.5,8,6
14.546999999998661,7,9
14.546999999998661,8,6
14.609999999998763,5,5232
14.734999999998763,1,5880
14.82799999999952,1,4210
14.859999999998763,7,9
14.859999999998763,8,6
14.859999999998763,7,9
14.859999999998763,8,6
14.906999999999243,7,9
14.906999999999243,8,6
14.968999999999141,5,5224
15.109999999998763,1,6225
15.156999999999243,1,2416
15.218999999999141,7,9
15.218999999999141,8,6
15.218999999999141,7,9
15.218999999999141,8,6
15.25,7,9
15.25,8,6
15.313000000000102,5,5149
15.390999999999622,1,2481
15.5,1,2356
15.57799999999952,7,9
15.57799999999952,8,6
15.57799999999952,7,9
15.57799999999952,8,6
15.609999999998763,7,9
15.609999999998763,8,6
15.671999999998661,5,5181
15.765999999999622,1,3322
15.921999999998661,1,5033
15.938000000000102,7,9
15.938000000000102,8,6
15.938000000000102,7,9
15.938000000000102,8,6
15.984999999998763,7,9
15.984999999998763,8,6
16.04699999999866,5,5118
16.109999999998763,1,2586
16.29699999999866,1,6112
16.29699999999866,7,9
16.29699999999866,8,6
16.29699999999866,7,9
16.29699999999866,8,6
16.34399999999914,7,9
16.34399999999914,8,6
16.406999999999243,5,5103
16.531999999999243,1,5873
16.59399999999914,1,2475
16.656999999999243,7,9
16.656999999999243,8,6
16.656999999999243,7,9
16.656999999999243,8,6
16.70299999999952,7,9
16.70299999999952,8,6
16.76599999999962,5,5081
16.906999999999243,1,6127
16.95299999999952,1,3232
17.01599999999962,7,9
17.01599999999962,8,6
17.01599999999962,7,9
17.01599999999962,8,6
17.063000000000102,7,9
17.063000000000102,8,6
17.125,5,5051
17.188000000000102,1,2472
17.313000000000102,1,2368
17.375,7,9
17.375,8,6
17.375,7,9
17.375,8,6
17.42199999999866,7,9
