time_s,nal_type,payload_bytes
7.7039999999997235,8,6
7.765999999999622,7,9
7.765999999999622,8,6
7.843999999999141,5,7823
7.860000000000582,1,407
7.938000000000102,1,114
8.063000000000102,7,9
8.063000000000102,8,6
8.063000000000102,7,9
8.063000000000102,8,6
8.110000000000582,7,9
8.110000000000582,8,6
8.17200000000048,5,6093
8.188000000000102,1,361
8.313000000000102,1,95
8.42200000000048,7,9
8.42200000000048,8,6
8.42200000000048,7,9
8.42200000000048,8,6
8.485000000000582,7,9
8.485000000000582,8,6
8.563000000000102,5,7760
8.578999999999724,1,399
8.67200000000048,1,141
8.781999999999243,7,9
8.781999999999243,8,6
8.781999999999243,7,9
8.781999999999243,8,6
8.828999999999724,7,9
8.828999999999724,8,6
8.906999999999243,5,6131
8.906999999999243,1,427
9.031999999999243,1,117
9.140999999999622,7,9
9.140999999999622,8,6
9.140999999999622,7,9
9.140999999999622,8,6
9.203999999999724,7,9
9.203999999999724,8,6
9.29700000000048,5,7785
9.29700000000048,1,444
9.390999999999622,1,132
9.5,7,9
9.5,8,6
9.5,7,9
9.5,8,6
9.54700000000048,7,9
9.54700000000048,8,6
9.625,5,6163
9.625,1,360
9.75,1,97
9.860000000000582,7,9
9.860000000000582,8,6
9.860000000000582,7,9
9.860000000000582,8,6
9.92200000000048,7,9
9.92200000000048,8,6
10.015999999999622,5,7807
10.015999999999622,1,397
10.110000000000582,1,141
10.218999999999141,7,9
10.218999999999141,8,6
10.218999999999141,7,9
10.218999999999141,8,6
10.265999999999622,7,9
10.265999999999622,8,6
10.343999999999141,5,6119
10.343999999999141,1,402
10.468999999999141,1,92
10.578999999999724,7,9
10.578999999999724,8,6
10.578999999999724,7,9
10.578999999999724,8,6
10.640999999999622,7,9
10.640999999999622,8,6
10.735000000000582,5,7778
10.735000000000582,1,468
10.828999999999724,1,108
10.938000000000102,7,9
10.938000000000102,8,6
10.938000000000102,7,9
10.938000000000102,8,6
10.985000000000582,7,9
10.985000000000582,8,6
11.063000000000102,5,6149
11.063000000000102,1,415
11.188000000000102,1,116
11.29700000000048,7,9
11.29700000000048,8,6
11.29700000000048,7,9
11.29700000000048,8,6
11.360000000000582,7,9
11.360000000000582,8,6
11.453999999999724,5,7813
11.453999999999724,1,381
11.54700000000048,1,112
11.656999999999243,7,9
11.656999999999243,8,6
11.656999999999243,7,9
11.656999999999243,8,6
11.735000000000582,7,9
11.735000000000582,8,6
11.843999999999141,5,9549
11.843999999999141,1,463
11.906999999999243,1,149
12.015999999999622,7,9
12.015999999999622,8,6
12.015999999999622,7,9
12.015999999999622,8,6
12.078999999999724,7,9
12.078999999999724,8,6
12.17200000000048,5,7696
12.17200000000048,1,402
12.265999999999622,1,125
12.375,7,9
12.375,8,6
12.375,7,9
12.375,8,6
12.42200000000048,7,9
12.42200000000048,8,6
12.5,5,6138
12.515999999999622,1,376
12.625,1,108
12.735000000000582,7,9
12.735000000000582,8,6
12.735000000000582,7,9
12.735000000000582,8,6
12.781999999999243,7,9
12.781999999999243,8,6
12.843999999999141,5,5442
12.875,1,447
12.985000000000582,1,185
13.093999999999141,7,9
13.093999999999141,8,6
13.093999999999141,7,9
13.093999999999141,8,6
13.140999999999622,7,9
13.140999999999622,8,6
13.203999999999724,5,5417
13.235000000000582,1,464
13.343999999999141,1,159
13.453999999999724,7,9
13.453999999999724,8,6
13.453999999999724,7,9
13.453999999999724,8,6
13.515999999999622,7,9
13.515999999999622,8,6
13.610000000000582,5,7749
13.610000000000582,1,386
13.703999999999724,1,95
13.813000000000102,7,9
13.813000000000102,8,6
13.813000000000102,7,9
13.813000000000102,8,6
13.860000000000582,7,9
13.860000000000582,8,6
13.938000000000102,5,6066
13.953999999999724,1,408
14.063000000000102,1,85
14.17200000000048,7,9
14.17200000000048,8,6
14.17200000000048,7,9
14.17200000000048,8,6
14.235000000000582,7,9
14.235000000000582,8,6
14.328999999999724,5,7764
14.328999999999724,1,455
14.42200000000048,1,116
14.531999999999243,7,9
14.531999999999243,8,6
14.531999999999243,7,9
14.531999999999243,8,6
14.593999999999141,7,9
14.593999999999141,8,6
14.656999999999243,5,6109
14.67200000000048,1,426
14.781999999999243,1,100
14.890999999999622,7,9
14.890999999999622,8,6
14.890999999999622,7,9
14.890999999999622,8,6
14.953999999999724,7,9
14.953999999999724,8,6
15.04700000000048,5,7746
15.04700000000048,1,387
15.140999999999622,1,135
15.25,7,9
15.25,8,6
15.25,7,9
15.25,8,6
15.313000000000102,7,9
15.313000000000102,8,6
15.375,5,6121
15.390999999999622,1,411
15.5,1,106
15.610000000000582,7,9
15.610000000000582,8,6
15.610000000000582,7,9
15.610000000000582,8,6
15.67200000000048,7,9
15.67200000000048,8,6
15.765999999999622,5,7762
15.781999999999243,1,474
15.860000000000582,1,109
15.968999999999141,7,9
15.968999999999141,8,6
15.968999999999141,7,9
15.968999999999141,8,6
16.031999999999243,7,9
16.031999999999243,8,6
16.09399999999914,5,6084
16.110000000000582,1,419
16.21899999999914,1,98
16.328999999999724,7,9
16.328999999999724,8,6
16.34399999999914,7,9
16.34399999999914,8,6
16.39099999999962,7,9
16.39099999999962,8,6
16.485000000000582,5,7802
16.5,1,471
16.578999999999724,1,109
16.703999999999724,7,9
16.703999999999724,8,6
16.703999999999724,7,9
16.703999999999724,8,6
16.75,7,9
16.75,8,6
16.813000000000102,5,6103
16.828999999999724,1,425
16.938000000000102,1,106
17.063000000000102,7,9
17.063000000000102,8,6
17.063000000000102,7,9
17.063000000000102,8,6
17.125,7,9
17.125,8,6
17.203999999999724,5,7784
17.21899999999914,1,404
17.29700000000048,1,130
17.42200000000048,7,9
17.42200000000048,8,6
17.42200000000048,7,9
17.42200000000048,8,6
17.5,7,9
17.5,8,6
17.610000000000582,5,9535
17.610000000000582,1,420
17.656999999999243,1,157
17.781999999999243,7,9
17.781999999999243,8,6
17.781999999999243,7,9
17.781999999999243,8,6
17.84399999999914,7,9
17.84399999999914,8,6
17.92200000000048,5,7819
17.938000000000102,1,457
18.01599999999962,1,123
18.14099999999962,7,9
18.14099999999962,8,6
18.14099999999962,7,9
18.14099999999962,8,6
18.188000000000102,7,9
18.188000000000102,8,6
18.26599999999962,5,6183
18.375,1,101
18.5,7,9
18.5,8,6
18.5,7,9
18.5,8,6
18.54700000000048,7,9
18.54700000000048,8,6
18.610000000000582,5,5404
18.625,1,556
18.75,1,242
18.860000000000582,7,9
18.860000000000582,8,6
18.860000000000582,7,9
18.860000000000582,8,6
18.906999999999243,7,9
18.906999999999243,8,6
18.96899999999914,5,5415
18.985000000000582,1,507
19.110000000000582,1,160
19.21899999999914,7,9
19.21899999999914,8,6
19.21899999999914,7,9
19.21899999999914,8,6
19.26599999999962,7,9
19.26599999999962,8,6
19.360000000000582,5,7836
19.375,1,402
19.46899999999914,1,113
19.578999999999724,7,9
19.578999999999724,8,6
19.578999999999724,7,9
19.578999999999724,8,6
19.625,7,9
19.625,8,6
19.703999999999724,5,6124
19.703999999999724,1,394
19.828999999999724,1,98
19.938000000000102,7,9
19.938000000000102,8,6
19.938000000000102,7,9
19.938000000000102,8,6
20.0,7,9
20.0,8,6
20.09399999999914,5,7805
20.09399999999914,1,426
20.188000000000102,1,120
20.29700000000048,7,9
20.29700000000048,8,6
20.29700000000048,7,9
20.29700000000048,8,6
20.34399999999914,7,9
20.34399999999914,8,6
20.42200000000048,5,6180
20.54700000000048,1,170
20.656999999999243,7,9
20.656999999999243,8,6
20.656999999999243,7,9
20.656999999999243,8,6
20.71899999999914,7,9
20.71899999999914,8,6
20.813000000000102,5,7749
20.813000000000102,1,398
20.906999999999243,1,134
21.01599999999962,7,9
21.01599999999962,8,6
21.01599999999962,7,9
21.01599999999962,8,6
21.063000000000102,7,9
21.063000000000102,8,6
21.14099999999962,5,6124
21.14099999999962,1,360
21.26599999999962,1,109
21.375,7,9
21.375,8,6
21.375,7,9
21.375,8,6
21.438000000000102,7,9
21.438000000000102,8,6
21.531999999999243,5,7819
21.625,1,127
21.735000000000582,7,9
21.735000000000582,8,6
21.735000000000582,7,9
21.735000000000582,8,6
21.781999999999243,7,9
21.781999999999243,8,6
21.860000000000582,5,6114
21.860000000000582,1,359
21.985000000000582,1,104
22.09399999999914,7,9
22.09399999999914,8,6
22.09399999999914,7,9
22.09399999999914,8,6
22.156999999999243,7,9
22.156999999999243,8,6
22.25,5,7819
22.25,1,433
22.34399999999914,1,117
22.453999999999724,7,9
22.453999999999724,8,6
22.453999999999724,7,9
22.453999999999724,8,6
22.5,7,9
